N,Goals,Nodes Created,Time,Nodes/Time
4,10,11,0.00027,40740.74074
8,110,119,0.0043,27674.4186
12,249,279,0.00879,31740.61433
16,57,119,0.00486,24485.59671
20,275,372,0.01888,19703.38983
24,79,234,0.01411,16583.98299
28,225,432,0.03253,13280.04919
32,33,311,0.02676,11621.82362
36,635,988,0.09998,9881.976395
40,17258,17707,2.02469,8745.536354
44,151,712,0.09449,7535.188909
48,2324,2993,0.44644,6704.148374
52,87,872,0.14563,5987.777244
56,2640,3560,0.90804,3920.532135
60,798,1860,0.46349,4013.031565
64,13284,14508,3.75734,3861.242262
68,1385,2779,0.79445,3498.017496
72,253,1819,0.54481,3338.778657
76,2991,4764,1.79337,2656.451262
80,165,2146,0.8695,2468.085106
84,90,2247,1.0092,2226.516052
85,18662,20851,7.07016,2949.155323
89,645,3068,1.55785,1969.380877
96,147,2993,1.74171,1718.426144
97,98,3005,1.71638,1750.7778
