Nodes,Goals,Nodes Created,Time,Nodes/Sec
4,9,10,0.00026,15384.61538
5,6,11,0.00028,17857.14286
6,32,39,0.00122,4918.032787
7,10,22,0.00067,10447.76119
8,114,124,0.00369,2168.02168
9,42,60,0.00173,5202.312139
10,99,121,0.00311,3215.434084
11,56,85,0.00192,5729.166667
12,249,284,0.00679,1767.30486
13,113,154,0.00409,3178.484108
14,1904,1948,0.05578,250.9860165
15,1377,1431,0.04386,341.997264
16,10058,10116,0.39366,40.64421074
17,5376,5449,0.18577,91.51100824
18,41275,41352,1.5001,11.99920005
19,2546,2642,0.08508,223.319229
20,199636,199733,6.58854,3.03557389
21,8563,8676,0.30011,69.97434274
22,1737020,1737141,62.15972,0.353926948
23,25186,25328,0.95436,24.09992037
24,410185,410339,15.72983,1.52576347
25,48525,48698,1.94928,12.8252483
